,,,,983-2 (replicate),983-1,V + X12,P2 + X12,P2 + X24,NE + X24
3424,Mt1a,NM_138826,0,-1.1665264755139,1.2826642783737,2.6163931293268,13.435381413014,11.553405063077,3.4295962844687
3461,Timp1,NM_053819,0,2.7670626993126,3.3863980080114,1.1358218002425,-1.3102404411686,-1.4327618200407,6.3944323926744
3560,TC528997,TC528997,0,-1.2945057981504,-1.3106779705203,-1.4341183738549,-3.748366087128,-6.7134537292434,-1.2451956648029
3582,Spp1,NM_012881,0,1.1075991148437,2.3343393983402,3.3211385981086,5.0214830376123,4.5508026257889,16.126866840662
3608,RGD1559807_predicted,XM_001066511,0,-1.0199454619736,1.4297002726565,1.8909236776463,1.9430187878834,5.2446438290795,1.0278551115946
3701,Timp1,NM_053819,0,2.8136754417648,3.397691940368,1.1174945145859,-1.2825638652203,-1.4348285182326,6.0436596643618
3751,TC558548,TC558548,0,1.7690373404557,1.8312810442109,1.1403582267825,-5.9520147666229,-3.4024989511474,-1.0900123033451
3763,Zfp358_predicted,XM_341026,0,-2.0768971960265,-1.4422249352674,-1.7571587521145,6.2083186564431,-1.1305206511917,-1.3010440472951
3798,Itgb7,XM_343336,0,2.5652754209245,1.5357198577988,-2.1034781252133,-5.5043241295911,-6.6684054841438,-1.2096045171764
3847,Stfa3_predicted,XM_213617,0,-1.0174453235686,-1.726310849528,-3.4490302230052,-14.999265756201,-20.869401769345,1.0155006132343
3861,Slc22a12,NM_001034943,0,-1.5009112056034,-1.5823407040691,1.1139394892624,5.0084806472375,1.9322930863768,1.2233876724905
3894,CO396111,CO396111,0,3.9426207203088,2.8124706565305,7.2690557551871,1.5429114430108,1.1642284289849,4.5305403220284
3980,Slc17a6,NM_053427,0,-1.5444220731182,-2.8399716190914,-1.0178236315862,5.2614082325031,1.4751731531329,1.0878614821814
4010,BG668902,BG668902,0,1.1621393322526,-1.4548928179593,-3.6236062495152,-2.4518618712231,-8.3599369108107,-2.4384171265735
4056,Ptgds2,NM_031644,0,-1.1302593281513,-2.6484757451313,-1.535504169282,-6.7786623198647,-9.262644581838,1.4013867275502
4113,Rhoa,NM_057132,0,-2.2254508133527,1.0190542158254,-6.823229828935,-1.6897676832979,-1.3624983970159,-1.1366404307236
4137,Ka24,NM_001004131,0,1.4569008611304,1.2558341827105,2.5393057728864,-5.1555380918174,-15.781199134655,-1.3414701088499
4211,Nr4a3,DQ268830,0,-1.0090587204536,2.3466104480871,-3.9616216828293,2.7712901617681,-2.6167546223663,-16.15846120949
4237,Bbc3,NM_173837,0,1.8321330117776,2.880713049775,5.0924526548207,4.4140982951447,4.9198175796609,3.9014585748768
4243,Gal,NM_033237,0,-1.0982148198604,-1.5209502199044,1.3625046715673,5.4738765660503,4.040610611008,1.0459456064803
