	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE E1 Aroclor 1260 200mg/kg"	"TE E3 Aroclor 1260 200mg/kg"	"TE C2 Wy-14643 50mg/kg 48hrs"	"TE C1 Wy-14643 50mg/kg 48hrs"	"TE C3 Wy-14643 50mg/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE D1 PBDE 2mg/kg 48hrs"	"TE D3 PBDE 2mg/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"	"TE E2 Aroclor 1260 200mg/kg 48hrs"	"TE D2 PBDE 2mg/kg 48hrs "
27939_Gm16430	0	-0.659596	-0.809406	0	-0.108622	-0.132139	-0.190708	-0.0804841	-0.217154	0	0	-0.18595	-0.0968286	0	0
28116_A_51_P422223	-0.344632	-0.603584	-0.410334	-0.0088895299999999	-0.463365	-0.179243	-0.377587	-0.517295	-0.407071	-1.05383	-0.127737	-0.219892	0.0702077	-0.271296	-0.3311
28351_Cyp4a14	-1.03605	-0.579912	-0.636323	-0.785615	0.242602	0.0201964	0.237076	-2.00728	-1.47683	-1.57532	-0.387657	-0.609912	-0.725726	-1.00114	-0.808738
28756_Anubl1	-0.0880907	0.144185	0.600943	-0.00504834	0.203219	0.211793	0.8883	0.42077	0.497404	0.249965	0.327519	0.270941	0.186851	0.172806	0.139333
28764_Cyfip2	0.300911	0.223595	0.0999572	-0.200028	0.363773	-0.113695	-0.0734185	1.13058	0.893245	-0.00639163	-0.232684	-0.00786962	0.0261503	-0.049689	0.0121135
28770_A_52_P292251	-0.0892414	-0.383987	-0.298889	-0.091128	-0.401878	-0.30031	-0.327106	-0.481778	-0.411251	-1.23319	-0.150926	-0.191255	0.029111	-0.411483	-0.403084
28820_A_52_P327146	-0.797912	-0.434687	-0.132864	0.113187	0.0348539	0.101962	-0.591929	-0.33769	-0.231169	0.00467631	-0.342477	-0.72595	0.0936675	0.170949	-0.163798
28907_Malat1	-0.425261	-0.343824	-0.0586603	-0.189217	0.0268889	0.102836	-0.831948	-0.0076482	-0.0426497	0.138187	-0.201221	-0.439559	-0.0266221	-0.0463828	-0.103443
28925_Dido1	-0.911823	-0.402549	-0.280613	-0.142125	-0.355114	0.15715	-0.558115	-0.350481	-0.292296	-0.183452	-0.47664	-0.457931	0.0406296	-0.199339	-0.35057
29221_Cyp26a1	-0.669429	-0.753646	-0.94822	-0.796937	-0.907473	-0.139791	-0.057616	-0.564282	-0.677615	-0.93108	-0.921894	-0.966803	-0.0946918	-0.826219	-0.455682
30210_Tmem86b	0.372964	0.325803	0.424538	0.0593989	0.239391	0.37462	0.298963	0.643843	0.832668	0.124132	0.241119	0.504009	0.772713	0.130033	0.0660036
30425_Mbip	-0.173633	-0.175217	0.0648258	0.450833	-0.100286	-0.0757913	0.0215891	-0.0907292	0.0674392	0.042493	-0.153353	-1.69107	-0.201662	-0.00587534	-0.05012
30426_4930592I03Rik	-0.249155	-0.191187	-0.294534	1.02058	-0.336992	-0.193175	-0.149139	-0.363243	-0.17289	-0.0557096	0	-0.907307	-0.0790137	0.112267	0
30591_Rabl2a	0.0771586	0.207996	0.207383	-0.892667	0.245094	-0.008646	0.186674	0.371141	0.0224379	0.113389	0.113683	0.225478	0.103426	0.134219	-0.0951209
30718_A_52_P55258	-0.664399	-0.876347	-0.488838	-0.734224	-0.637893	-0.0933977	-0.216136	-0.753912	-0.45688	-0.664471	-0.726036	-0.615019	-0.19634	-0.896741	-0.854612
30761_Snx27	0.321629	0.796737	0.197358	-1.14835	0.157185	-0.0930577	0.315357	0.326683	0	0.0979358	-0.0066073000000001	0.460348	-0.245637	0.12421	0.0495066
31017_Mgat5	-0.549656	-0.295367	0.134475	1.02565	-0.144608	-0.0479999	-0.178928	-0.0419137	0.0220779	-0.0556153	-0.229121	-0.348934	-0.0595236	-0.125007	-0.337111
31063_Afp	0.0349785	0.105983	0.784701	0.281703	0.40523	0.416719	0.746001	0.530502	0.530564	0.489323	0.45741	0.377957	0.436215	0.437742	0.287445
31186_A_52_P699435	0	-0.296545	-0.32412	-0.782611	0.136582	-0.120027	-0.160419	-0.298053	-0.172719	0.364906	0	-0.358865	-0.26907	-0.192227	0
31271_Rftn1	0.15852	0.27749	0.047606	-1.1824	-0.0763575	-0.111696	0.0165423	-0.0339627	-0.0113107	-0.137862	-0.0663872	0.0788824	-0.127749	0.103447	-0.0698702
31439_A_52_P90393	-1.48353	-1.36099	-0.706083	-0.0078569600000001	-1.20853	-0.122032	-0.57972	-1.18338	-0.631873	-0.876684	-0.61103	-0.0834533	-0.170085	0.289353	-0.332614
31480_9330182L06Rik	-0.0557215	-0.378855	-0.845241	0	-0.245015	-0.153005	-0.267193	-0.264945	-0.29381	0.41099	0	-0.276141	-0.111521	-0.281548	0
31700_A_52_P511177	-0.312558	-0.695925	-0.798338	-0.326963	-0.411052	-0.537113	-0.553427	-0.576525	-0.376224	-0.39518	-0.109046	-0.754602	-0.679176	-0.251167	-0.196169
32759_Srrm4	-0.780176	-0.918626	-0.711461	0.270367	-0.497039	-0.367751	-0.545064	-0.686986	-0.482438	-0.81875	-0.19147	-0.413622	-0.341845	-0.221246	-0.330595
32907_Tcfap2e	-0.301874	-0.547625	-0.412926	-0.12264	-0.50675	-0.649821	-0.415804	-0.587707	-0.510665	-1.20115	-0.181771	-0.27016	0.010137	-0.350137	-0.460862
32993_D10Bwg1070e	-0.641633	-0.355315	-0.417597	-0.00426466	-0.0920713	0.262493	-0.854842	-0.336111	-0.319194	-0.103667	-0.440285	-0.537927	0.190453	-0.0354724	-0.375382
33058_1810011O10Rik	-0.82195	-0.625263	-0.276691	-0.0958824	-0.449623	-0.0889389	-0.139207	-0.577213	-0.326101	0.166479	0.290076	-0.352624	-0.172948	0.0233647	-0.121782
33339_Cabyr	-0.0980362	0.256816	-0.158713	0.195009	0.413776	-0.0800034	0.0631813	0.100592	-0.0385998	0.634367	0.266667	-0.025832	0.039535	0.200707	1.019
33844_Car3	-0.0550977	-0.0136526	-0.145508	-0.201647	-0.0256485	0.119264	-0.549825	-0.0466982	-0.312828	-0.0841136	-0.269954	-0.148908	-0.0810085	-0.815109	-0.259068
34125_Moxd1	-0.93655	-0.766086	-0.375494	-0.728743	-0.989938	0.0377583	-0.556735	0.898863	-0.170579	-0.899853	-0.72031	-0.632081	0.0333885	-1.11706	-1.08196
34474_Cyp1a1	-0.125703	0.0471433	0.309492	0.164502	0.46101	0.1374	0.778584	2.35955	1.86769	0.398589	0.190381	0.0256722	2.0182	0.394649	0.233873
34511_Khdc1c	-0.356163	-0.546818	-0.676717	0.172758	-0.388464	-0.470401	-0.43706	-0.498361	-0.33678	-0.312266	0	-0.815741	-0.572729	-0.0291728	0.0855712
34521_Chd6	-0.0201659	-0.672172	-0.785898	0.028329	-0.361928	-0.403407	-0.534445	-0.559526	-0.351626	0.107351	-0.139206	-0.683438	-0.431547	-0.169826	-0.208361
34785_Wasf1	0.122019	0.20726	0.362747	0.0585346	0.12269	0.0282236	0.330921	0.684638	0.895686	-0.0120116	-0.00648995	0.373123	0.242587	-0.0182189	0.0947556
34835_Cyp3a41a	-0.214234	-0.0995252	-0.0652193	-0.160088	-0.223246	-0.523764	-0.24659	-1.14682	-0.170186	-0.262114	-0.157849	-0.0797381	-0.25843	-0.0375569	-0.146484
34984_A_51_P281078	-0.923996	-0.995038	-1.00824	-0.905911	-1.0578	-0.154221	-0.193242	-0.693984	-0.663964	-0.931169	-0.976242	-1.06637	-0.0600428	-0.839001	-0.605419
