http://edge.oncology.wisc.edu/agilentarrayinfo.php?arrayid=
./agilentfeatureinfo.php?featurenum=
TE A1 Corn Oil 10 ml/kg 48hrs
TE A3 Corn Oil 10ml/kg 48hrs
TE A2 Corn Oil 10 ml/kg 48hrs
BLANK
TE E1 Aroclor 1260 200mg/kg
TE E3 Aroclor 1260 200mg/kg
TE E2 Aroclor 1260 200mg/kg 48hrs
BLANK
TE C2 Wy-14643 50mg/kg 48hrs
TE C1 Wy-14643 50mg/kg 48hrs
TE C3 Wy-14643 50mg/kg 48hrs
BLANK
TE B1 TCDD 10ug/kg 48hrs
TE B2 TCDD 10ug/kg 48hrs
TE B3 TCDD 10ug/kg 48hrs
518
519
538
-99
520
521
540
-99
530
531
532
-99
533
534
539
24555	 Cyp2b19 	NM_007814 	0	-1.5394632763354	-1.0127513559738	1.5590935205806	-9999	-2.2645860793538	-1.071427115758	-1.0044349903733	-9999	-1.311256407293	-1.6424105775224	-1.5273664030045	-9999	-1.7895005381644	-1.0811534371293	-1.220075295114
42738	 Cyp2b19 	AK029227 	0	1	1	1	-9999	1	1	1	-9999	1	-1.094253640115	1	-9999	1	1	-1.1695346681733
220	 Cyp2b9 	NM_010000 	0	-1.0943090729856	-1.0359528749747	1.1336526302703	-9999	5.8350018758579	3.6933460414343	12.07294716423	-9999	-1.2091773402855	10.716870923507	1.9118288018483	-9999	-2.421252042021	2.8528963935245	8.1097226177229
21336	 Cyp2b9 	NM_010000 	0	1.3011279314088	1.0747810485985	-1.3984276424803	-9999	14.516001352732	7.7645805553861	20.307805721903	-9999	1.9833985892824	5.8980167284503	1.2176711036801	-9999	-1.7910182037417	1.9723319047826	2.8862237761463
22160	 Cyp2c29 	NM_007815 	0	-1.0537801171656	-1.0004242261326	1.0542271582294	-9999	1.613296902615	1.0602202624271	1.5005183125913	-9999	-2.0243085060577	-1.8121439773084	-2.2259668891714	-9999	1.2443063000297	1.5414956375287	1.1040613328396
14449	 Cyp2c37 	NM_010001 	0	-1.093914972678	1.1489095339276	-1.0502731589046	-9999	1.3256343020297	1.056923814118	1.6450220867123	-9999	-2.8624325820231	-1.6975448862771	-2.5858079518989	-9999	1.1072197740578	1.2046612294609	-1.0162872255862
30009	 Cyp2c37 	NM_010001 	0	-1.0947142381347	1.101778347769	-1.0064529256936	-9999	1.647116179802	1.2665190699354	1.6444142566004	-9999	-1.6800753761244	-1.1800237998642	-1.9857783279978	-9999	1.5652014203564	1.8072708064978	1.2094231945519
10051	 Cyp2c38 	NM_010002 	0	-1.5587865745599	1.275288117992	1.2223014960841	-9999	1.4793772756731	-3.4706886589525	-2.0669627816752	-9999	1.768578508921	1.0668086866329	1.1874426491268	-9999	-2.186908721967	1.050191607473	-1.3871699004016
44987	 Cyp2c38 	NM_010002 	0	-2.0818119637048	1.1703802917128	1.7787483080889	-9999	-1.0463748435433	-3.0657271500762	-3.1394350311048	-9999	-1.4335521618593	-1.0030791424665	1.0009479627987	-9999	-2.9943013078555	-1.2360601351984	1.1113805703853
11791	 Cyp2c39 	NM_010003 	0	-1.0094935923847	1.0518188103981	-1.0419271784712	-9999	1.451116677183	1.0201624483461	1.3946085818046	-9999	-1.5100407476804	-1.17377935501	-1.9997314030783	-9999	1.3240406943408	1.7946151649713	1.0807793378644
27273	 Cyp2c40 	NM_010004 	0	-1.0715620720069	1.0898749397589	-1.0170898804935	-9999	1.1953515985529	-1.7729207923346	-1.2832531332672	-9999	-3.3221048354385	1.0168354219511	-1.9733918639757	-9999	1.1546029603264	1.3118273061896	-1.2867445377318
29107	 Cyp2c40 	NM_010004 	0	-1.0685979417249	-1.1819179634061	1.2629951029835	-9999	1.43657950632	-1.4973189924127	-1.0810837348382	-9999	-1.4860017926291	-1.6362902150589	-1.4563619822771	-9999	1.2003300167359	1.7494062213855	-1.1098654532491
24634	 Cyp2c44 	NM_001001446 	0	-1.0451228266833	1.061838986022	-1.015994444779	-9999	1.1016729007425	1.0963410274908	1.2605621614121	-9999	-1.0248170290668	1.0401492653415	-1.5117930112129	-9999	-1.0028716011395	1.0417287896414	1.0098262752559
21958	 Cyp2c54 	NM_206537 	0	-1.211429839008	1.1752296325431	1.0308026665279	-9999	1.295080407769	-1.2035559013153	1.6075434985332	-9999	-4.032981842108	-1.0543120414024	-2.5008132786375	-9999	1.3114832049845	1.2498754372895	1.2650763396633
43313	 Cyp2c55 	NM_028089 	0	1.0814082206359	-1.3341121314105	1.2336804048207	-9999	2.4575800148666	1.4374265646681	4.1151594423519	-9999	-2.0287817678926	-1.8896889926564	-1.3013985944095	-9999	-2.779265480338	1.445382082264	1.0238342803993
9653	 Cyp2c65 	AK008688 	0	-1.4604781591629	-1.101086572802	1.6081128909249	-9999	1.3718844494783	1.1668325436088	1.1590936679994	-9999	1.3088067716476	-1.7912754205857	2.2268477914292	-9999	1.5005329391302	2.3923875481195	-1.6882453673648
19818	 Cyp2c66 	NM_001011707 	0	-1.193224054971	-1.1144202628255	1.3297530649505	-9999	-1.8713318097969	1.1841316792088	-1.0121526115249	-9999	1.3635906039873	-1.8289397545064	-1.0489698363041	-9999	-1.5578738950549	-1.3058220566449	-1.5845385151931
27215	 Cyp2c70 	NM_145499 	0	1.2200910274477	-1.427252021076	1.1697914245478	-9999	1.4329044563283	-1.0557222305293	1.1717399393802	-9999	-1.7976314876725	-1.7181879411048	-1.5266225272794	-9999	1.1675253885358	1.1224567949085	-1.5945849714608
18529	 Cyp2d10 	NM_010005 	0	-1.0927848530181	1.1066577591049	-1.0126950021758	-9999	-2.5950197450446	-1.5457820991519	-1.2542518973332	-9999	-3.7719129963805	-1.2966237334033	-2.6029430525013	-9999	-2.3530365147272	-2.2612816924824	-1.2609340331186
32703	 Cyp2d10 	NM_010005 	0	-1.1612509082227	1.1960345719783	-1.0299536159751	-9999	-1.0686910361224	-1.2504132489378	-1.219356356715	-9999	-1.0534610105927	-1.6024307365885	-1.3999697982008	-9999	-1.1693075845113	1.0929662043812	-1.4647043341545
9699	 Cyp2d13 	NM_133695 	0	-1.0048684249356	1.207165458048	-1.2013169367177	-9999	-1.3256430522312	1.4254664495296	1.7452972323801	-9999	1.0876017557215	1.8998985005917	-1.8349726688427	-9999	-1.3087919044465	-1.2803673768593	1.5363331444116
3355	 Cyp2d22 	AK086555 	0	-1.6494226979795	1.736176739051	-1.0525966092123	-9999	1.4813587030592	1.3740069622011	1.4210711587155	-9999	1.9684846534836	2.4213971858195	-1.4559248766458	-9999	1.1824765403204	1.4692311697559	1.9254490599535
38067	 Cyp2d22 	AK090296 	0	-1.2268176062988	1.1409247464457	1.0752835453177	-9999	-1.311450792847	-1.6817893578804	-1.5376854323998	-9999	-2.0061162693161	-1.2198768791059	-1.3346795308058	-9999	-1.3037370271382	1.0407945274086	1.0804682263992
40581	 Cyp2d22 	NM_019823 	0	-1.1520199499808	1.1497859568597	1.0019429643472	-9999	-2.8011540913566	-1.6500723995772	-1.5322481300039	-9999	-3.7848179958014	1.2037491681117	-2.3788715915033	-9999	-1.9619670075207	-2.1589540542463	-1.2854760807421
20313	 Cyp2d26 	NM_029562 	0	1.0660215887956	1.0856504082168	-1.1573267730438	-9999	-1.0775365243566	1.2141753174377	1.0985023744507	-9999	-1.0085048706229	-2.2649311252466	-1.4430587084382	-9999	-1.0043498059615	1.1357111773255	-1.2046530929058
38540	 Cyp2d9 	NM_010006 	0	-1.2599587686331	1.2494608901731	1.0084019264169	-9999	-1.631925893419	-1.2800452823282	-1.2224787913485	-9999	-1.315207671274	-1.9856067171153	-1.7375542111791	-9999	-1.6906170063195	-1.2586887001153	-1.580546339642
39394	 Cyp2d9 	NM_010006 	0	-1.3815050177971	1.169011364967	1.1817721017931	-9999	-1.6037296798584	-1.2677431326751	-1.1417453898035	-9999	-1.2769687421635	-1.6042932885621	-1.6971474138019	-9999	-1.6447080711752	-1.2450828945967	-1.3640741116729
23755	 Cyp2e1 	NM_021282 	0	-1.1362520157047	1.2338669552104	-1.0859095853354	-9999	-1.243300953364	-2.370334658216	-2.063957102688	-9999	-1.0786577462829	-1.5899298632634	-1.1806078502636	-9999	1.2900850227951	1.3076915978679	-2.010873110143
