TE A1 Corn Oil 10 ml/kg 48hrs	TE A3 Corn Oil 10ml/kg 48hrs	TE B1 TCDD 10ug/kg 48hrs	TE B2 TCDD 10ug/kg 48hrs	TE A2 Corn Oil 10 ml/kg 48hrs    	TE B3 TCDD 10ug/kg 48hrs
19766_TC1707173	0.100576437451753	0.226195208154625	-1.10909191478937	-1.04191575928567	0.0471076378907737	-0.931431274087976
24989_Srxn1	0.160465885944202	-0.131939347713156	-1.19337926909117	-1.43916975696863	-0.449564615650668	-1.19551872532237
38541_Selenbp1	-0.248303180867845	-0.0722435812485451	-1.18697543815151	-0.909460052298561	-0.157267533939856	-1.21626394237698
4277_A930004D18Rik	1.01023996605129	0.508762305105813	-1.94851547835365	-2.75165839494815	-0.501469689314626	-2.76019236543948
5587_Ugt1a@	0.478488405058415	-0.0106193371991019	-1.21339935707844	-1.15427854833397	-0.153718169406786	-1.30886910465828
16621_Nr2f2	-0.0192631522124884	0.0666259653153886	-0.81699750138696	-1.01571860580067	0.106873971110546	-1.18594406551598
25563_Fhit	-0.58399031369695	-0.574197342091255	-3.43957577953714	-3.03148425454132	-1.05023726689648	-2.06161605700165
36182_Tiparp	0.834967300004763	0.475797627024109	-2.04315710181433	-2.30120434002613	-0.20905480555581	-1.60337959423408
23435_Sult5a1	-0.384744580168952	0.388798747253891	-1.42454589402006	-1.40955774212493	0.167767315441791	-1.13162013456043
13759_Pabpc2	0.0280332268064731	0.171456440665177	-0.974394018951569	-0.887314986039313	-0.0901551644384762	-0.901797159453242
19686_Rpa1	-0.15174729810311	-0.277574935234263	-0.964723803219149	-1.12014118345997	-0.159354567288856	-1.04690958754749
11114_Ugt1a9	-0.482514119497028	-0.834937634190298	-2.12536101622963	-2.75907725663027	-0.977760376173761	-2.47347415581514
15085_Fbxw9	0.134230434979988	0.173130663989296	-1.40001404202401	-1.14868816722829	0.154843017810192	-0.835701722165958
31194_Aqp8	0.556166196762937	0.0427578210656703	-1.05713087560622	-1.63739332923552	-0.314305192282607	-1.73083832609689
38709_Cyp1a2	-1.49216460475718	-1.69831900064426	-3.78702081659832	-3.72561642080305	-1.0589427648128	-3.97625918759305
19144_Tmem34	0.130085528432559	0.13506638370146	-1.04517365356241	-0.857894497956505	-0.173731760167771	-0.855028402509448
34137_Isoc1	0.0499470302513745	0.0503732577099272	-0.86463091801168	-0.834450657469999	-0.21594965204917	-0.92443854236582
30011_NAP028759-1	-0.046706735582903	-0.331660088157607	-1.23251221587282	-0.886253943270816	-0.232172132235002	-1.07275844949507
9910_A_52_P1021640	-0.222047780894939	0.202860173204018	-0.824387397517056	-1.01103285281818	0.0231314388409738	-0.96808640732698
10870_Tmem19	-0.156155408487834	-0.529091447344618	-1.40063012780506	-1.5364950169826	-0.077776487550212	-0.967013342168515
25960_Higd1a	-0.304189187452978	-0.0232714950666234	-1.11647139102761	-0.818011395033428	-0.0068539513926149	-0.93760683043378
44208_Nqo1	0.578483365805118	-0.0530381632394594	-1.12572473833559	-1.78060022762089	-0.421969335380749	-2.12212497924318
38663_Rps19	-0.424756791156208	-0.13619881128313	-1.32972278532274	-1.0158864306046	-0.0462262161925314	-0.960004694092278
6561_Eif3s6	0.225567038494711	0.0956740333018118	-1.2735886470528	-0.781250600230931	0.168590279443945	-1.03118398754687
584_Atg4a	0.0516648254792534	0.109354930485882	-0.892858151584393	-0.988547568967747	-0.280381860464874	-0.853689043290077
28229_C1qbp	0.0224516231583253	-0.137746993546403	-0.834575213828302	-0.834155359654896	-0.219424380365506	-1.04166697510776
44386_Insl6	1.32062038941712	0.512918694562087	-3.33562612518134	-2.90044343678828	-0.310981883926596	-1.89164669103483
12651_Pmm1	0.434129181086245	0.36822084840917	-1.58183980420186	-1.56114083303703	0.396459994748224	-1.06523615160909
13105_Rpl36a	-0.0169128047581113	0.212367254628537	-0.962020002230133	-0.748556490867206	0.138632160286721	-1.16098958453999
