,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,TE B3 TCDD 10ug/kg 48hrs
10714,Gm7231,XM_001477336,0,-15.129340597769,-7.7138821574397,-7.202678003022,-6.2598510569891,-5.2550396840199,-1.8329473906559
10788,Olfr1143,NM_146293,0,-6.1516270790198,-4.4803299663509,-4.6591318410301,-2.1560061731343,1.1112991956275,1.1543893195595
11114,Ugt1a9,NM_201644,0,1.3971756238119,1.7837788078831,4.3631184160484,6.7696310507299,1.9694048358969,5.5537969800611
11396,C730007P19Rik,NM_009286,0,-335.83039479156,-196.03788121753,-145.76055055026,-34.843357749162,-152.69330662736,-5.1099423443121
13684,Fabp12,NM_029310,0,1.1756850615097,-1.43613081189,12.547291855787,5.5248437487316,1.4358662911821,1.6642056802267
14002,Mt2,NM_008630,0,-5.6207982858098,-8.3296930901299,-12.566085200763,-8.073242540921,-8.2059525239432,-5.9551540438968
15203,A1bg,NM_001081067,0,-31.586390484235,-34.912423734309,-43.011045560758,-8.1978694886461,-42.163824792787,-2.2066832577399
15275,Cyp2b13,NM_007813,0,-9.4437177807997,-11.7397811235,-39.773151089311,-9.0772437990543,-14.730246007962,-4.2804950582289
15531,Fmo3,NM_008030,0,-231.35026430828,-156.72201254028,-4.6023643820323,-3.8021653526067,-204.86133570049,-4.4341767452484
15776,Cyp3a11,NM_007818,0,-1.3533122094585,1.156710026195,-10.018899033968,-1.6009103043829,-1.7291990967212,-1.7439137423212
16013,Tiam2,NM_011878,0,-7.770250142864,-3.4299437673111,-2.7783694821445,-2.3996284373346,-2.4825556922876,1.4393353772653
16739,Mfsd2a,NM_029662,0,-13.898566200032,-2.4290922031018,-6.3141806065589,-2.0696695015889,-6.9287995916962,-1.5884845678257
18441,Emr1,NM_010130,0,-4.4601554966132,-4.1241077166465,-2.2368970666276,-6.4327400246105,-3.2657730439419,-1.8173015625426
18663,Ctsm,NM_022326,0,-1.5724288376863,-9.6501041378104,1.032805162275,-1.1629410481106,-1.0836728679004,-1.2618333455346
18833,A_52_P1163917,A_52_P1163917,0,2.0833584574493,-9.6304592960668,-1.295853780306,1.1043809330216,-2.2434789551035,-1.5777929093648
19003,A_52_P103319,A_52_P103319,0,-3.0385053124914,-8.1323301224226,1.041528839779,1.2110514667573,-1.2598823736758,1.0467134384877
19157,Cyp2b13,NM_007813,0,-26.227687472551,-36.644601228194,-43.524120098262,-22.148789720926,-78.076439483915,-6.9980493373149
20089,Rgs16,NM_011267,0,-2.0649474312138,4.1878102930388,-13.367801867974,-15.362432935791,2.7383376647162,-2.5804176274403
20171,Serpinb1a,NM_025429,0,-4.7188263949978,-4.7206412823016,-11.473343602884,-4.4649849565515,-3.1033159960702,-1.6273388776569
20284,A_51_P182362,A_51_P182362,0,-4.8206433292253,-5.6329254043153,-6.8323326034425,-2.442761125807,-4.0185280118516,-1.5123071310117
20445,Olfr114,NM_146287,0,-1.4259523064647,-1.472688854381,10.243302540799,6.8627313778821,-1.1354449942322,6.7809883774342
20968,Adamdec1,NM_021475,0,-9.6617990363771,-3.0270597958805,-1.1825181084112,-1.5989136127252,-2.3673310807364,1.0653612590771
21336,Cyp2b9,NM_010000,0,-23.408845754896,-28.338704979448,-54.550658817037,-15.44258498272,-42.593173562327,-10.552855709061
21337,Apob,NM_009693,0,1.1608772491931,-1.671040593291,-1.7468756855396,-1.4945312486943,-1.2758364336526,-9.1068671252396
21466,BC014805,NM_146232,0,-91.293529990751,-69.524840307378,-27.568935670074,-11.144484897053,-51.468320890613,-6.1103628415817
21803,Fgf21,NM_020013,0,6.0393750433396,2.2775346868514,-2.2750502838117,2.3429606786637,8.5751159273556,-2.5166858076175
21804,Mafb,NM_010658,0,-6.22346139638,-1.2922870729574,-1.4804713248976,-1.2203786465113,-2.2727883783283,1.6707674279862
22754,Cyp2a4,NM_009997,0,-7.8047860070192,-4.2052711138116,-3.5252587563275,-3.039268017657,-5.2296906504504,-2.5147858034972
22904,Acnat2,NM_145368,0,-6.1752849171045,-5.1579603579671,-6.5174243670588,-3.7225025163484,-4.8461851224018,-1.8614741087803
23794,A_51_P299527,A_51_P299527,0,-15.573993890809,-14.784614328413,-18.122161649979,-4.5635624709848,-10.807618349485,-2.2035859770892
