,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,	,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE B3 TCDD 10ug/kg 48hrs
21854,Cyp24a1,NM_009996,0,-1.1852541010178,1.3233744126422,-1.1165322368476,,,-1.1165322368476,-1.5083435366974,1.0155713329745
29221,Cyp26a1,NM_007811,0,1.3402845150289,1.1040277763734,-1.479711332835,,,1.7074342939046,1.3152581452021,5.0342432913948
3514,Cyp26b1,NM_175475,0,-1.9198236321302,-1.2661359302936,2.4307576804668,,,-3.0748811443681,-1.0132073540784,5.1729641264392
10618,Cyp27a1,NM_024264,0,-1.0912233070015,1.211759872376,-1.1104600356326,,,-1.7702126232068,-1.9947635936765,1.1696598074215
3021,Cyp27b1,AB006034,0,-1.320335093544,-1.1724725038074,1.5480565929924,,,-2.2270048695856,1.2871342100242,-1.2758952677874
5237,Cyp27b1,NM_010009,0,-1.3595287623321,-1.0535241611156,1.4322963988485,,,-1.4346151076718,1.2617589674733,-1.0486880037243
36879,Cyp2a12,NM_133657,0,-1.0589051650175,1.0267368122381,1.0313306705243,,,-1.4511866238262,-1.1326543745575,-1.0978314465665
22754,Cyp2a4,NM_009997,0,-1.4043779434294,1.3215481771555,1.0626763123023,,,1.5764710505086,1.8285548831546,2.2099171894376
29648,Cyp2a4,NM_009997,0,-1.3518380511206,1.5460136830322,-1.1436382351796,,,-1.6872547780317,-1.3098171323023,-1.0332553595469
17106,Cyp2a5,NM_007812,0,-1.4691134450359,1.3660313508863,1.0754610017425,,,1.3884545456716,1.6607668470006,2.4756917342816
40976,Cyp2a5,NM_007812,0,-1.4070472012747,1.4448851691594,-1.0268917544844,,,1.1109137274437,1.3129081169709,1.6411974493205
16669,Cyp2b10,NM_009999,0,-1.0566577272231,-1.1789525695269,1.2457493426201,,,-4.1246806883516,1.8668854316147,3.0225059652833
20284,Cyp2b10,NM_009998,0,-1.0087951834355,-1.1787779407106,1.1891455089288,,,-1.4297726986347,1.9562348881818,3.1598174999024
15275,Cyp2b13,NM_007813,0,1.2469852984928,1.0031002377207,-1.2508512493524,,,-3.3774246339034,1.2973296186007,2.7511250627737
19157,Cyp2b13,NM_007813,0,1.6081874426973,1.1510300625647,-1.8510720927835,,,-1.0318898326998,1.9043495457675,6.0272563983565
24555,Cyp2b19,NM_007814,0,-1.5394632763354,-1.0127513559738,1.5590935205806,,,-1.7895005381644,-1.0811534371293,-1.220075295114
42738,Cyp2b19,AK029227,0,1,1,1,,,1,1,-1.1695346681733
220,Cyp2b9,NM_010000,0,-1.0943090729856,-1.0359528749747,1.1336526302703,,,-2.421252042021,2.8528963935245,8.1097226177229
21336,Cyp2b9,NM_010000,0,1.3011279314088,1.0747810485985,-1.3984276424803,,,-1.7910182037417,1.9723319047826,2.8862237761463
22160,Cyp2c29,NM_007815,0,-1.0537801171656,-1.0004242261326,1.0542271582294,,,1.2443063000297,1.5414956375287,1.1040613328396
14449,Cyp2c37,NM_010001,0,-1.093914972678,1.1489095339276,-1.0502731589046,,,1.1072197740578,1.2046612294609,-1.0162872255862
30009,Cyp2c37,NM_010001,0,-1.0947142381347,1.101778347769,-1.0064529256936,,,1.5652014203564,1.8072708064978,1.2094231945519
10051,Cyp2c38,NM_010002,0,-1.5587865745599,1.275288117992,1.2223014960841,,,-2.186908721967,1.050191607473,-1.3871699004016
44987,Cyp2c38,NM_010002,0,-2.0818119637048,1.1703802917128,1.7787483080889,,,-2.9943013078555,-1.2360601351984,1.1113805703853
11791,Cyp2c39,NM_010003,0,-1.0094935923847,1.0518188103981,-1.0419271784712,,,1.3240406943408,1.7946151649713,1.0807793378644
27273,Cyp2c40,NM_010004,0,-1.0715620720069,1.0898749397589,-1.0170898804935,,,1.1546029603264,1.3118273061896,-1.2867445377318
29107,Cyp2c40,NM_010004,0,-1.0685979417249,-1.1819179634061,1.2629951029835,,,1.2003300167359,1.7494062213855,-1.1098654532491
24634,Cyp2c44,NM_001001446,0,-1.0451228266833,1.061838986022,-1.015994444779,,,-1.0028716011395,1.0417287896414,1.0098262752559
21958,Cyp2c54,NM_206537,0,-1.211429839008,1.1752296325431,1.0308026665279,,,1.3114832049845,1.2498754372895,1.2650763396633
43313,Cyp2c55,NM_028089,0,1.0814082206359,-1.3341121314105,1.2336804048207,,,-2.779265480338,1.445382082264,1.0238342803993
