Clone#,Gene Name,518:TE A1 Corn Oil 10 ml/kg 48hrs,519:TE A3 Corn Oil 10ml/kg 48hrs,538:TE A2 Corn Oil 10 ml/kg 48hrs    ,520:TE E1 Aroclor 1260 200mg/kg,521:TE E3 Aroclor 1260 200mg/kg,540:TE E2 Aroclor 1260 200mg/kg 48hrs,530:TE C2 Wy-14643 50mg/kg 48hrs,531:TE C1 Wy-14643 50mg/kg 48hrs,532:TE C3 Wy-14643 50mg/kg 48hrs,533:TE B1 TCDD 10ug/kg 48hrs,534:TE B2 TCDD 10ug/kg 48hrs,539:TE B3 TCDD 10ug/kg 48hrs
209,AK084873,-2.5696087354725,4.4747523006404,1,3.1195719020412,-1.331459620438,-1.7551692435425,6.7831746621883,1.1505113303474,1,4.0203420096838,1,1.1591813895532
220,Cyp2b9,-15.220537870232,-14.408872552165,-12.269023547838,-2.383685748826,-3.7659105482718,-1.1520642496527,-16.81821886885,-1.2978425246633,-7.2751340509199,-33.676736589975,-4.875329804274,-1.7150784893012
233,Hdgfrp3,-2.159697870192,1,1.1968692246019,-1.1836963269949,-1.4144089637549,2.3373244386582,5.2540233675223,1.1393317496723,2.5424709533895,1.7027739599077,2.2674201406803,1.2062154863852
270,Chka,1.8847814551812,1.4147672567975,-2.1515478046716,1.1329149296395,-5.7132864624494,-2.5667939087642,2.2299031447885,-1.337707001027,-1.5657917482674,2.4386248779514,1.1895935478993,-1.2531547366965
279,Cd207,-6.1580044726242,-4.4505019944757,-2.8129434408338,-3.1640183969063,-2.5197415647248,-1.5813681954548,-5.3729153705892,-1.6619999255742,-2.7095427031206,-3.8176578234384,-2.9608335962073,-1.8731907304764
292,LOC382133,1,1,1.428920279953,1,11.095579768375,1.9137270696297,5.3312985073361,1.0140053584353,2.8939565079251,4.4479408168254,-1.362018479477,1.0342061118628
353,Foxred2,-1.102716060756,3.3323836885067,1,1,-2.789940876842,1,4.8677694416084,1.1997028760792,1,6.9404239535029,2.9060962898332,1.3956065530365
355,Ptchd1,-1.8368216938539,1,1.1566599549215,5.0856210965656,-1.8205139033083,-1.1730831589397,1.888656597164,1.0499064408719,1.266222423024,1.6065786822626,3.57218547304,1.0691597480926
357,Ntrk2,-10.041763758702,-2.8072235593711,-3.2489647541531,1.2255919507305,-1.4302896632804,-2.9549014422126,-2.7085696012903,1.0597216328805,1.4644616390254,-5.6252910815573,1.2872087995425,-1.0912541290869
437,Lepr,-1.0883001774876,1.012948370174,-1.2262581307409,-1.0140299912292,-3.7685475552629,-5.5406536121457,-1.0955936337475,1.0188327107039,-1.2794461152541,-4.9573890139597,-1.511468149797,1.1688228680708
500,AI747699,2.0644387391438,2.7779600766536,1.8022083602351,2.8926840437636,-1.8001844253618,1.1504180840379,1.6974734880997,-1.0075095002824,2.1576748528122,5.2026426875889,1.4080238136124,1.000891548281
640,Aph1b,-1.1845723739292,-1.0225247057018,1.4722989419959,5.7771946447418,-1.7372567188858,-2.3479075913248,-1.0708299267,1.2128374537927,2.1623301308183,1.4826682922127,2.4393156381435,-1.1042426062348
