12																							
859																							
860	24096	24987																					
861																							
862																							
863																							
864																							
866																							
867	1815	25623																					
868	2273																						
869	3262	7180	7660	19587	27425	30514	32560	36153	43105	44170													
870	2634	11377																					
871	9376	26234																					
872	4552	6470	19681																				
873																							
874	23958																						
875	22997	33511																					
876	42555																						
877	33581	37861	39547																				
878	5505	6389																					
879	3701	10088	42396																				
880	29466	32978																					
882	14304	28007																					
883	8160																						
884	23170	33569																					
885																							
886	39569																						
887																							
888	24272	42824																					
889	23844																						
890																							
891	17437																						
892	14386	15566	15962	29922	32905	37825	39991																
893	39381	41905																					
894	1213																						
895	19592	28992																					
896																							
897	3136	35126																					
898	38709																						
899	24839																						
900	7964																						
901	17642																						
902	17054																						
904																							
905	33404	42691	43189																				
906	20411	22001																					
907	5863	13912	14477	15490	17077	33809	40432	41491	43288														
908																							
909																							
910																							
911	11451	11822																					
912	1290																						
913	2067	6934	12481	13057	17186	22454	24898	25013	29731	40950													
914																							
916																							
917																							
918																							
919	34237																						
920																							
921	7859	9193																					
922	9214																						
923	19842	22425	26860	45015																			
924	18305	44128																					
925																							
926	22247	25106	31396	42423																			
927																							
928																							
929	17021	21713	38699																				
941	7387	15955																					
942	38129																						
943																							
944																							
945	14715	27261																					
946	39089																						
947																							
948	12142	25259																					
950																							
951																							
952																							
953																							
954	7934																						
955																							
956																							
957	13670	34026																					
958	8343																						
959																							
960	3741	9803																					
961																							
962	4289	42298																					
963																							
964	34755																						
965	12382																						
966																							
967	7916	12179																					
968																							
969	9311	24667																					
970	32554																						
971																							
972																							
973																							
974	12860	31209	37088																				
975																							
976	18196																						
977																							
978																							
979	34647																						
980	8391	26827																					
981	18400																						
982	42322																						
983	14623	17601	36862																				
984	2910	5805	8814	29062	29265	30112	30346	37452	38551														
985	4807																						
986	4402	9377	18626	25417	28672	35561	37767	40464	40885	44979													
987																							
988	9372	36348	38370																				
989	20767																						
990	21479																						
991																							
992	31457																						
993	1155	2833	5012	6144	8131	13777	25361	31669	34309	34652	42620	42679											
994	41519																						
995	11135																						
996																							
997																							
998																							
999																							
1000	29852																						
1001	37616																						
1002	7027																						
1003																							
1004																							
1005	10733	30934	35856	37381																			
1006																							
1007	11617	21702	24698																				
1008																							
1009																							
1010																							
1011	7023	18503	39410																				
1012	3865	9029	22050	36445																			
1013	4489	4586	4665	8280	19671	21084	21153	21918	26501	28192	28936	34074	34217	35900	36925	37437	43475	43476	44224				
1014	4567																						
1027																							
1028	3269	7082	10443	24232	28182	29885	33656	35271	39521	42347													
1029	25351																						
1030																							
1031	33448																						
1032																							
1033	1318																						
1034																							
1035																							
1036																							
1037																							
1038	18878	44924																					
1039	32379																						
1040	24482	42729																					
1041	7938																						
1042																							
1043	19489	31874																					
1044	41777	42401																					
1045	1499	15850	33473																				
1046																							
1047	2754	29748																					
1048																							
1049	37270																						
1050	32738																						
1051																							
1052	16050																						
1053	14145	34625	45163																				
1054	7185	7314	35712																				
1055																							
1056																							
1057	13063																						
1058																							
1059	18045																						
1060	19458	32424																					
1061	8731																						
1062	30266																						
1063	21726																						
1064	8488	14348	20532	30673	43547	44760																	
1065																							
1066	1511	7353	29936	30347	42198																		
1068																							
1069	35933																						
1070																							
1071	7134	7375	19374	24416	29040	33114	42639	43354	45088														
1072	14336	32797	33186																				
1073																							
1074	13964	28687	33469																				
1075																							
1076																							
1077																							
1078	43402																						
1079																							
1080																							
1081	13354	33701	40670																				
1082																							
1083																							
1084	32578	38663																					
1085																							
1086	10954																						
1087																							
1088	23048																						
1089																							
1090	2838	2898	3505	6562	7284	8032	12861	15561	37379														
1091	5429	32466	35416																				
1092																							
1093																							
1094																							
1095																							
1096																							
1097																							
1098																							
1099	6479																						
1100																							
1111																							
1112	9104	16604																					
1113																							
1114																							
1115	23098	31559																					
1116																							
1117																							
1118																							
1119	6188																						
1120																							
1121																							
1122																							
1123	9091	10170	26724	35191	39207	40014	40231	41111	41364	45026													
1124																							
1125	12966																						
1126	8633	40366																					
1127	11356	14666	15518																				
1128	18702	21030																					
1129																							
1130	33387																						
1131																							
1132	25992																						
1133																							
1134																							
1135	16512	41304																					
1136	27593																						
1137																							
1138																							
1139																							
1140																							
1141																							
1142																							
1143	11412																						
1144																							
1145																							
1146																							
1147	8303																						
1148																							
1149																							
1150																							
1151	10697	11859																					
1152	15333	16080	26033	26597																			
1153																							
1154																							
1156	25428	44491																					
1157																							
1158	34122																						
1159	14822																						
1160	40165																						
1161																							
1162	1309	18837																					
1163																							
1164																							
1165																							
1166	24279																						
1167	2461	7510	12108	17535	20768	20932	32193	32436	36255	38414	38597												
1168																							
1169	22203																						
1170	6220	7744	14812	16600	24998	36996	37177	37811	42148														
1171	24596	40107																					
1172																							
1173	3374	40434																					
1174	43467																						
1175	12554																						
1176																							
1177																							
